Order,State,Substate Region,"Small 
Area Estimate",95% CI (Lower),95% CI (Upper),Map Group
1,Total United States,Total United States,1.90%,1.85%,1.96%,1
2,Northeast,Northeast,2.00%,1.90%,2.12%,2
3,Midwest,Midwest,1.93%,1.84%,2.03%,2
4,South,South,1.68%,1.60%,1.77%,2
5,West,West,2.19%,2.07%,2.32%,2
6,Alabama,Alabama,1.42%,1.23%,1.64%,3
7,Alabama,Region 1,1.22%,0.97%,1.53%,4
8,Alabama,Region 2,1.56%,1.27%,1.91%,4
9,Alabama,Region 3,1.47%,1.18%,1.83%,4
10,Alabama,Region 4,1.45%,1.17%,1.81%,4
11,Alaska,Alaska,2.97%,2.60%,3.38%,3
12,Alaska,Anchorage,3.23%,2.69%,3.87%,4
13,Alaska,Northern,3.05%,2.43%,3.82%,4
14,Alaska,South Central,2.61%,2.10%,3.24%,4
15,Alaska,Southeast,2.65%,2.02%,3.47%,4
16,Arizona,Arizona,2.14%,1.88%,2.44%,3
17,Arizona,Maricopa,2.20%,1.88%,2.58%,4
18,Arizona,Pima,2.20%,1.73%,2.80%,4
19,Arizona,Rural North,2.11%,1.62%,2.74%,4
20,Arizona,Rural South,1.88%,1.46%,2.42%,4
21,Arkansas,Arkansas,1.73%,1.52%,1.97%,3
22,Arkansas,Catchment Area 1,2.01%,1.61%,2.51%,4
23,Arkansas,Catchment Area 2,1.50%,1.15%,1.97%,4
24,Arkansas,Catchment Area 3,1.22%,0.94%,1.57%,4
25,Arkansas,Catchment Area 4,1.44%,1.11%,1.87%,4
26,Arkansas,Catchment Area 5,1.92%,1.52%,2.44%,4
27,Arkansas,Catchment Area 6,1.90%,1.43%,2.52%,4
28,Arkansas,Catchment Area 7,1.66%,1.25%,2.19%,4
29,Arkansas,Catchment Area 8,2.00%,1.56%,2.56%,4
30,California,California,2.17%,2.01%,2.35%,3
31,California,Region 1R,2.49%,1.91%,3.24%,4
32,California,Region 2R,2.49%,1.99%,3.12%,4
33,California,Region 3R (Sacramento),2.52%,2.03%,3.14%,4
34,California,Region 4R,2.50%,2.00%,3.13%,4
35,California,Region 5R (San Francisco),1.95%,1.46%,2.59%,4
36,California,Region 6 (Santa Clara),1.89%,1.52%,2.33%,4
37,California,Region 7R (Contra Costa),2.37%,1.89%,2.98%,4
38,California,Region 8R (Alameda),2.10%,1.70%,2.60%,4
39,California,Region 9R (San Mateo),2.02%,1.56%,2.60%,4
40,California,Region 10,2.96%,2.34%,3.75%,4
41,California,Region 11 (Los Angeles),2.04%,1.83%,2.26%,5
42,California,LA SPA 1 and 5,2.49%,1.92%,3.22%,4
43,California,LA SPA 2,2.20%,1.81%,2.68%,4
44,California,LA SPA 3,1.50%,1.20%,1.87%,4
45,California,LA SPA 4,2.05%,1.62%,2.59%,4
46,California,LA SPA 6,2.28%,1.80%,2.88%,4
47,California,LA SPA 7,1.94%,1.57%,2.40%,4
48,California,LA SPA 8,2.20%,1.79%,2.70%,4
49,California,Region 12R,2.39%,1.83%,3.13%,4
50,California,Regions 13 and 19R,1.95%,1.63%,2.34%,4
51,California,Region 14 (Orange),1.90%,1.58%,2.28%,4
52,California,Region 15R (Fresno),2.49%,1.95%,3.18%,4
53,California,Region 16R (San Diego),2.20%,1.83%,2.65%,4
54,California,Region 17R,2.03%,1.65%,2.50%,4
55,California,Region 18R (San Bernardino),2.35%,1.90%,2.89%,4
56,California,Region 20R,2.22%,1.76%,2.80%,4
57,California,Region 21R,2.79%,2.14%,3.63%,4
58,Colorado,Colorado,2.81%,2.46%,3.22%,3
59,Colorado,Region 1,2.62%,2.01%,3.42%,4
60,Colorado,Regions 2 and 7,3.07%,2.61%,3.61%,4
61,Colorado,Region 3,2.12%,1.66%,2.71%,4
62,Colorado,Region 4,2.44%,1.82%,3.27%,4
63,Colorado,Regions 5 and 6,3.09%,2.32%,4.11%,4
64,Connecticut,Connecticut,2.34%,2.07%,2.64%,3
65,Connecticut,Eastern,2.43%,1.90%,3.11%,4
66,Connecticut,North Central,2.57%,2.09%,3.15%,4
67,Connecticut,Northwestern,1.89%,1.49%,2.40%,4
68,Connecticut,South Central,2.18%,1.77%,2.68%,4
69,Connecticut,Southwest,2.58%,2.04%,3.24%,4
70,Delaware,Delaware,2.11%,1.85%,2.40%,3
71,Delaware,Kent,2.48%,2.00%,3.08%,4
72,Delaware,New Castle (excluding Wilmington City),2.20%,1.86%,2.61%,4
73,Delaware,Sussex,1.52%,1.22%,1.90%,4
74,Delaware,Wilmington City,2.38%,1.79%,3.18%,4
75,District of Columbia,District of Columbia,3.17%,2.77%,3.63%,3
76,District of Columbia,Ward 1,4.24%,3.22%,5.56%,4
77,District of Columbia,Ward 2,4.82%,3.55%,6.51%,4
78,District of Columbia,Ward 3,3.23%,2.43%,4.30%,4
79,District of Columbia,Ward 4,2.10%,1.63%,2.72%,4
80,District of Columbia,Ward 5,3.09%,2.42%,3.94%,4
81,District of Columbia,Ward 6,2.57%,1.97%,3.35%,4
82,District of Columbia,Ward 7,2.66%,2.06%,3.43%,4
83,District of Columbia,Ward 8,3.12%,2.49%,3.91%,4
84,Florida,Florida,1.65%,1.51%,1.79%,3
85,Florida,Broward (Circuit 17),1.36%,1.11%,1.66%,4
86,Florida,Central I,2.04%,1.76%,2.36%,5
87,Florida,Circuit 9,2.03%,1.70%,2.43%,4
88,Florida,Circuit 18,2.05%,1.64%,2.55%,4
89,Florida,Central II,1.50%,1.34%,1.69%,5
90,Florida,Circuit 6,1.43%,1.17%,1.76%,4
91,Florida,Circuit 10,1.43%,1.14%,1.79%,4
92,Florida,Circuit 12,1.38%,1.08%,1.74%,4
93,Florida,Circuit 13 (Hillsborough),1.85%,1.53%,2.24%,4
94,Florida,Circuit 20,1.36%,1.08%,1.70%,4
95,Florida,Northeast,1.90%,1.68%,2.13%,5
96,Florida,Circuit 4,1.93%,1.57%,2.38%,4
97,Florida,Circuit 5,1.51%,1.22%,1.86%,4
98,Florida,Circuit 7,2.07%,1.66%,2.57%,4
99,Florida,"Circuit 8 plus Columbia, Dixie, Hamilton, Lafayette, and Suwannee",2.39%,1.90%,3.01%,4
100,Florida,Northwest,2.34%,1.99%,2.76%,5
101,Florida,Circuit 1,2.11%,1.64%,2.71%,4
102,Florida,Circuit 2 plus Madison and Taylor,3.08%,2.41%,3.94%,4
103,Florida,Circuit 14,1.85%,1.36%,2.50%,4
104,Florida,South (Circuits 11 and 16),1.25%,1.06%,1.48%,4
105,Florida,Southeast,1.62%,1.39%,1.89%,5
106,Florida,Circuit 15 (Palm Beach),1.51%,1.25%,1.82%,4
107,Florida,Circuit 19,1.89%,1.49%,2.40%,4
108,Georgia,Georgia,1.73%,1.53%,1.96%,3
109,Georgia,Region 1,1.79%,1.46%,2.18%,4
110,Georgia,Region 2,1.50%,1.18%,1.91%,4
111,Georgia,Region 3,1.79%,1.47%,2.17%,4
112,Georgia,Region 4,1.79%,1.36%,2.36%,4
113,Georgia,Region 5,1.67%,1.27%,2.19%,4
114,Georgia,Region 6,1.75%,1.37%,2.22%,4
115,Hawaii,Hawaii,1.96%,1.67%,2.30%,3
116,Hawaii,Hawaii Island,2.40%,1.84%,3.11%,4
117,Hawaii,Honolulu,1.81%,1.50%,2.18%,4
118,Hawaii,Kauai,2.66%,1.97%,3.59%,4
119,Hawaii,Maui,2.27%,1.76%,2.92%,4
120,Idaho,Idaho,1.94%,1.71%,2.20%,3
121,Idaho,Region 1,2.17%,1.68%,2.78%,4
122,Idaho,Region 2,2.14%,1.60%,2.85%,4
123,Idaho,Region 3,2.10%,1.68%,2.64%,4
124,Idaho,Region 4,2.59%,2.11%,3.16%,4
125,Idaho,Region 5,1.40%,1.10%,1.79%,4
126,Idaho,Region 6,1.42%,1.07%,1.87%,4
127,Idaho,Region 7,1.29%,1.00%,1.66%,4
128,Illinois,Illinois,1.83%,1.67%,2.00%,3
129,Illinois,Region I (Cook),1.93%,1.70%,2.19%,4
130,Illinois,Region II,1.90%,1.66%,2.16%,4
131,Illinois,Region III,1.94%,1.61%,2.33%,4
132,Illinois,Region IV,1.41%,1.15%,1.74%,4
133,Illinois,Region V,1.42%,1.17%,1.72%,4
134,Indiana,Indiana,2.08%,1.83%,2.36%,3
135,Indiana,Central,2.25%,1.80%,2.82%,4
136,Indiana,East,2.10%,1.60%,2.75%,4
137,Indiana,North Central,1.82%,1.44%,2.30%,4
138,Indiana,Northeast,2.11%,1.61%,2.76%,4
139,Indiana,Northwest,1.92%,1.50%,2.46%,4
140,Indiana,Southeast,1.60%,1.23%,2.09%,4
141,Indiana,Southwest,1.70%,1.30%,2.23%,4
142,Indiana,West,2.97%,2.29%,3.83%,4
143,Iowa,Iowa,1.63%,1.42%,1.86%,3
144,Iowa,Central,1.75%,1.38%,2.23%,4
145,Iowa,North Central,2.36%,1.80%,3.08%,4
146,Iowa,Northeast,1.52%,1.21%,1.90%,4
147,Iowa,Northwest,1.36%,1.06%,1.74%,4
148,Iowa,Southeast,1.66%,1.32%,2.10%,4
149,Iowa,Southwest,1.25%,0.97%,1.61%,4
150,Kansas,Kansas,1.75%,1.53%,2.00%,3
151,Kansas,Kansas City Metro,1.85%,1.50%,2.26%,4
152,Kansas,Northeast,1.79%,1.42%,2.27%,4
153,Kansas,South Central,1.51%,1.18%,1.92%,4
154,Kansas,Southeast,1.35%,0.99%,1.84%,4
155,Kansas,West,1.53%,1.17%,2.00%,4
156,Kansas,Wichita (Sedgwick),2.04%,1.62%,2.56%,4
157,Kentucky,Kentucky,1.48%,1.29%,1.69%,3
158,Kentucky,"Adanta, Cumberland River, and Lifeskills",1.36%,1.06%,1.74%,4
159,Kentucky,"Bluegrass, Comprehend, and North Key",1.39%,1.12%,1.74%,4
160,Kentucky,Communicare and River Valley,1.35%,1.04%,1.74%,4
161,Kentucky,Four Rivers and Pennyroyal,1.31%,0.98%,1.75%,4
162,Kentucky,"Kentucky River, Mountain, and Pathways",1.17%,0.89%,1.54%,4
163,Kentucky,Seven Counties,2.08%,1.68%,2.56%,4
164,Louisiana,Louisiana,1.63%,1.43%,1.86%,3
165,Louisiana,Regions 1 and 10,1.82%,1.48%,2.24%,5
166,Louisiana,Region 1,1.93%,1.46%,2.53%,4
167,Louisiana,Region 10 (Jefferson),1.71%,1.30%,2.23%,4
168,Louisiana,Regions 2 and 9,1.72%,1.41%,2.10%,4
169,Louisiana,Region 3,1.44%,1.10%,1.89%,4
170,Louisiana,"Regions 4, 5, and 6",1.56%,1.24%,1.95%,4
171,Louisiana,Regions 7 and 8,1.54%,1.23%,1.94%,4
172,Maine,Maine,2.41%,2.11%,2.75%,3
173,Maine,Aroostook/Downeast,1.88%,1.48%,2.37%,5
174,Maine,Aroostook,1.71%,1.29%,2.27%,4
175,Maine,Downeast,2.02%,1.48%,2.77%,4
176,Maine,Central,1.97%,1.53%,2.53%,4
177,Maine,Cumberland,2.65%,2.11%,3.31%,4
178,Maine,Midcoast,2.35%,1.76%,3.14%,4
179,Maine,Penquis,2.81%,2.20%,3.58%,4
180,Maine,Western,2.60%,2.05%,3.28%,4
181,Maine,York,2.45%,1.91%,3.15%,4
182,Maryland,Maryland,2.21%,1.95%,2.49%,3
183,Maryland,Anne Arundel,2.29%,1.76%,2.97%,4
184,Maryland,Baltimore City,2.21%,1.74%,2.81%,4
185,Maryland,Baltimore County,2.20%,1.71%,2.83%,4
186,Maryland,Montgomery,1.82%,1.42%,2.32%,4
187,Maryland,North Central,2.19%,1.64%,2.93%,4
188,Maryland,Northeast,2.66%,2.03%,3.47%,4
189,Maryland,Prince George's,2.79%,2.17%,3.58%,4
190,Maryland,South,1.98%,1.53%,2.55%,4
191,Maryland,West,1.81%,1.38%,2.37%,4
192,Massachusetts,Massachusetts,2.53%,2.24%,2.86%,3
193,Massachusetts,Boston,2.88%,2.23%,3.71%,4
194,Massachusetts,Central,2.62%,2.04%,3.35%,4
195,Massachusetts,Metrowest,2.28%,1.81%,2.87%,4
196,Massachusetts,Northeast,2.38%,1.92%,2.93%,4
197,Massachusetts,Southeast,2.56%,2.06%,3.18%,4
198,Massachusetts,Western,2.76%,2.21%,3.45%,4
199,Michigan,Michigan,2.37%,2.18%,2.58%,3
200,Michigan,Region 1,2.20%,1.70%,2.85%,4
201,Michigan,Region 2,1.64%,1.29%,2.08%,4
202,Michigan,Region 3,2.22%,1.88%,2.63%,4
203,Michigan,Region 4,2.36%,1.95%,2.85%,4
204,Michigan,Region 5,2.65%,2.25%,3.11%,4
205,Michigan,Region 6,2.37%,1.97%,2.86%,4
206,Michigan,Region 7,2.62%,2.25%,3.06%,4
207,Michigan,Region 8,2.33%,1.95%,2.78%,4
208,Michigan,Region 9,2.26%,1.87%,2.73%,4
209,Michigan,Region 10,2.22%,1.83%,2.69%,4
210,Minnesota,Minnesota,1.76%,1.54%,2.02%,3
211,Minnesota,Regions 1 and 2,1.46%,1.10%,1.95%,4
212,Minnesota,Regions 3 and 4,1.65%,1.29%,2.11%,4
213,Minnesota,Regions 5 and 6,1.50%,1.19%,1.88%,4
214,Minnesota,Region 7A (Hennepin),1.77%,1.41%,2.24%,4
215,Minnesota,Region 7B (Ramsey),2.38%,1.79%,3.18%,4
216,Minnesota,Region 7C,1.99%,1.61%,2.45%,4
217,Mississippi,Mississippi,1.47%,1.29%,1.68%,3
218,Mississippi,Region 1,1.44%,1.16%,1.79%,4
219,Mississippi,Region 2,1.29%,0.99%,1.68%,4
220,Mississippi,Region 3,1.52%,1.20%,1.93%,4
221,Mississippi,Region 4,1.61%,1.27%,2.05%,4
222,Mississippi,Region 5,1.32%,0.95%,1.81%,4
223,Mississippi,Region 6,1.33%,1.04%,1.70%,4
224,Mississippi,Region 7,1.64%,1.28%,2.08%,4
225,Missouri,Missouri,1.92%,1.70%,2.17%,3
226,Missouri,Central,2.10%,1.67%,2.64%,4
227,Missouri,Eastern,2.32%,1.96%,2.74%,5
228,Missouri,Eastern (St. Louis City and County),2.32%,1.88%,2.86%,4
229,Missouri,Eastern (excluding St. Louis),2.31%,1.80%,2.95%,4
230,Missouri,Northwest,1.79%,1.47%,2.17%,5
231,Missouri,Northwest (Jackson),2.04%,1.58%,2.62%,4
232,Missouri,Northwest (excluding Jackson),1.60%,1.22%,2.08%,4
233,Missouri,Southeast,1.34%,1.04%,1.71%,4
234,Missouri,Southwest,1.61%,1.24%,2.08%,4
235,Montana,Montana,1.93%,1.69%,2.20%,3
236,Montana,Region 1,1.84%,1.38%,2.46%,4
237,Montana,Region 2,1.95%,1.52%,2.50%,4
238,Montana,Region 3,1.98%,1.59%,2.47%,4
239,Montana,Region 4,1.76%,1.41%,2.21%,4
240,Montana,Region 5,2.05%,1.69%,2.49%,4
241,Nebraska,Nebraska,1.64%,1.43%,1.89%,3
242,Nebraska,Regions 1 and 2,1.44%,1.13%,1.83%,5
243,Nebraska,Region 1,1.57%,1.15%,2.13%,4
244,Nebraska,Region 2,1.33%,0.95%,1.85%,4
245,Nebraska,Region 3,1.12%,0.88%,1.43%,4
246,Nebraska,Region 4,1.22%,0.93%,1.60%,4
247,Nebraska,Region 5,1.61%,1.30%,1.99%,4
248,Nebraska,Region 6,2.04%,1.68%,2.47%,4
249,Nevada,Nevada,2.07%,1.80%,2.38%,3
250,Nevada,Clark - Region 1,1.93%,1.64%,2.27%,4
251,Nevada,Region 3,2.08%,1.63%,2.65%,5
252,Nevada,Capital District,2.27%,1.63%,3.16%,4
253,Nevada,Rural/Frontier,1.92%,1.41%,2.61%,4
254,Nevada,Washoe - Region 2,2.83%,2.25%,3.55%,4
255,New Hampshire,New Hampshire,2.94%,2.59%,3.34%,3
256,New Hampshire,Central,3.16%,2.65%,3.76%,4
257,New Hampshire,Central 1,3.68%,2.95%,4.58%,5
258,New Hampshire,Central 2,2.65%,2.10%,3.34%,5
259,New Hampshire,Northern,2.77%,2.16%,3.55%,4
260,New Hampshire,Southern,2.88%,2.46%,3.36%,4
261,New Hampshire,Southern 1 (Rockingham),2.84%,2.27%,3.53%,5
262,New Hampshire,Southern 2,2.90%,2.41%,3.50%,5
263,New Jersey,New Jersey,1.73%,1.53%,1.96%,3
264,New Jersey,Central,1.71%,1.40%,2.08%,4
265,New Jersey,Metropolitan,1.67%,1.36%,2.06%,4
266,New Jersey,Northern,1.63%,1.34%,1.98%,4
267,New Jersey,Southern,2.01%,1.63%,2.47%,4
268,New Mexico,New Mexico,2.12%,1.85%,2.43%,3
269,New Mexico,Region 1,2.26%,1.80%,2.84%,4
270,New Mexico,Region 2,2.05%,1.59%,2.64%,4
271,New Mexico,Region 3 (Bernalillo),2.23%,1.80%,2.76%,4
272,New Mexico,Region 4,2.04%,1.62%,2.58%,4
273,New Mexico,Region 5,1.91%,1.54%,2.37%,4
274,New York,New York,1.92%,1.76%,2.10%,3
275,New York,Region A,1.64%,1.46%,1.84%,4
276,New York,Region 1,1.59%,1.28%,1.96%,5
277,New York,Region 2,1.94%,1.64%,2.30%,5
278,New York,Region 3,1.87%,1.49%,2.34%,5
279,New York,Region 4,1.22%,1.00%,1.49%,5
280,New York,Region B,2.23%,1.96%,2.54%,4
281,New York,Region 5,2.37%,2.00%,2.81%,5
282,New York,Region 6,2.04%,1.64%,2.54%,5
283,New York,Region 7,2.08%,1.62%,2.65%,5
284,New York,Region C,2.11%,1.89%,2.36%,4
285,New York,Region 8,2.20%,1.78%,2.73%,5
286,New York,Region 9,2.18%,1.80%,2.64%,5
287,New York,Region 10,2.19%,1.67%,2.86%,5
288,New York,Region 11,2.36%,1.94%,2.88%,5
289,New York,Region 12,1.75%,1.43%,2.14%,5
290,New York,Region D,2.05%,1.75%,2.40%,4
291,New York,Region 13,2.13%,1.69%,2.70%,5
292,New York,Region 14,1.97%,1.52%,2.55%,5
293,New York,Region 15,2.07%,1.63%,2.62%,5
294,North Carolina,North Carolina,1.68%,1.49%,1.90%,3
295,North Carolina,Alliance Behavioral Healthcare 1,1.73%,1.33%,2.24%,4
296,North Carolina,Alliance Behavioral Healthcare 2,2.27%,1.76%,2.93%,4
297,North Carolina,Cardinal Innovations Healthcare Solutions 1,1.58%,1.20%,2.09%,4
298,North Carolina,Cardinal Innovations Healthcare Solutions 2,1.79%,1.38%,2.32%,4
299,North Carolina,Cardinal Innovations Healthcare Solutions 3,1.87%,1.42%,2.45%,4
300,North Carolina,CenterPoint Human Services,1.59%,1.22%,2.06%,4
301,North Carolina,Eastpointe,1.14%,0.86%,1.51%,4
302,North Carolina,Partners Behavioral Health Management,1.51%,1.17%,1.93%,4
303,North Carolina,Sandhills Center 1,1.43%,1.06%,1.95%,4
304,North Carolina,Sandhills Center 2,2.14%,1.59%,2.86%,4
305,North Carolina,Smoky Mountain Center 1,1.86%,1.40%,2.47%,4
306,North Carolina,Smoky Mountain Center 2,1.32%,0.97%,1.80%,4
307,North Carolina,Trillium Healthcare Resources 1,1.49%,1.12%,1.98%,4
308,North Carolina,Trillium Healthcare Resources 2,1.92%,1.42%,2.61%,4
309,North Dakota,North Dakota,1.54%,1.34%,1.78%,3
310,North Dakota,Badlands and West Central,1.42%,1.14%,1.76%,4
311,North Dakota,Lake Region,1.16%,0.88%,1.54%,4
312,North Dakota,North Central,1.46%,1.11%,1.92%,4
313,North Dakota,Northeast,2.16%,1.68%,2.78%,4
314,North Dakota,Northwest,1.24%,0.92%,1.69%,4
315,North Dakota,South Central,1.22%,0.91%,1.63%,4
316,North Dakota,Southeast,1.68%,1.35%,2.09%,4
317,Ohio,Ohio,1.97%,1.82%,2.14%,3
318,Ohio,"Boards 2, 46, 55, and 68",1.40%,1.09%,1.79%,4
319,Ohio,"Boards 3, 52, and 85",1.79%,1.39%,2.30%,4
320,Ohio,Boards 4 and 78,1.68%,1.28%,2.19%,4
321,Ohio,Boards 5 and 60,2.35%,1.86%,2.97%,4
322,Ohio,"Boards 7, 15, 41, 79, and 84",1.20%,0.93%,1.53%,4
323,Ohio,"Boards 8, 13, and 83",1.76%,1.40%,2.21%,4
324,Ohio,Board 9 (Butler),2.23%,1.73%,2.85%,4
325,Ohio,Board 12,2.11%,1.61%,2.75%,4
326,Ohio,Boards 18 and 47,2.02%,1.70%,2.40%,4
327,Ohio,"Boards 20, 32, 54, and 69",1.28%,1.00%,1.64%,4
328,Ohio,"Boards 21, 39, 51, 70, and 80",1.45%,1.16%,1.82%,4
329,Ohio,"Boards 22, 74, and 87",2.06%,1.61%,2.62%,4
330,Ohio,Boards 23 and 45,1.90%,1.49%,2.41%,4
331,Ohio,Board 25 (Franklin),2.54%,2.11%,3.06%,4
332,Ohio,"Boards 27, 71, and 73",1.77%,1.40%,2.24%,4
333,Ohio,"Boards 28, 43, and 67",1.99%,1.59%,2.48%,4
334,Ohio,Board 31 (Hamilton),2.37%,1.95%,2.89%,4
335,Ohio,Board 48 (Lucas),2.20%,1.73%,2.79%,4
336,Ohio,Boards 50 and 76,1.62%,1.30%,2.01%,4
337,Ohio,Board 57 (Montgomery),2.27%,1.79%,2.87%,4
338,Ohio,Board 77 (Summit),2.89%,2.29%,3.64%,4
339,Oklahoma,Oklahoma,1.74%,1.52%,1.98%,3
