Order,State,Substate Region,"Small 
Area Estimate",95% CI (Lower),95% CI (Upper),Map Group
1,Total United States,Total United States,28.50%,28.11%,28.89%,1
2,Northeast,Northeast,26.56%,25.77%,27.38%,2
3,Midwest,Midwest,26.11%,25.47%,26.76%,2
4,South,South,32.60%,31.97%,33.23%,2
5,West,West,25.64%,24.89%,26.42%,2
6,Alabama,Alabama,37.74%,35.17%,40.39%,3
7,Alabama,Region 1,39.39%,35.08%,43.87%,4
8,Alabama,Region 2,33.73%,29.87%,37.82%,4
9,Alabama,Region 3,38.87%,34.89%,43.00%,4
10,Alabama,Region 4,40.55%,36.09%,45.18%,4
11,Alaska,Alaska,18.90%,16.88%,21.10%,3
12,Alaska,Anchorage,18.68%,16.12%,21.53%,4
13,Alaska,Northern,18.71%,15.56%,22.32%,4
14,Alaska,South Central,19.44%,16.28%,23.05%,4
15,Alaska,Southeast,18.85%,15.26%,23.06%,4
16,Arizona,Arizona,26.46%,24.06%,29.00%,3
17,Arizona,Maricopa,25.40%,22.54%,28.50%,4
18,Arizona,Pima,24.72%,20.73%,29.18%,4
19,Arizona,Rural North,29.06%,24.10%,34.59%,4
20,Arizona,Rural South,30.88%,26.50%,35.63%,4
21,Arkansas,Arkansas,34.99%,32.53%,37.54%,3
22,Arkansas,Catchment Area 1,33.02%,28.65%,37.71%,4
23,Arkansas,Catchment Area 2,33.08%,28.28%,38.26%,4
24,Arkansas,Catchment Area 3,39.74%,35.22%,44.45%,4
25,Arkansas,Catchment Area 4,31.39%,26.72%,36.48%,4
26,Arkansas,Catchment Area 5,32.94%,28.46%,37.75%,4
27,Arkansas,Catchment Area 6,41.33%,36.20%,46.65%,4
28,Arkansas,Catchment Area 7,39.01%,33.71%,44.59%,4
29,Arkansas,Catchment Area 8,33.85%,29.40%,38.60%,4
30,California,California,27.60%,26.39%,28.84%,3
31,California,Region 1R,22.05%,18.36%,26.24%,4
32,California,Region 2R,22.80%,19.25%,26.78%,4
33,California,Region 3R (Sacramento),24.40%,20.91%,28.27%,4
34,California,Region 4R,22.34%,19.03%,26.05%,4
35,California,Region 5R (San Francisco),22.71%,18.66%,27.35%,4
36,California,Region 6 (Santa Clara),28.47%,24.77%,32.48%,4
37,California,Region 7R (Contra Costa),23.86%,20.20%,27.95%,4
38,California,Region 8R (Alameda),26.84%,23.28%,30.74%,4
39,California,Region 9R (San Mateo),26.15%,22.00%,30.77%,4
40,California,Region 10,24.32%,20.73%,28.32%,4
41,California,Region 11 (Los Angeles),29.38%,27.57%,31.25%,5
42,California,LA SPA 1 and 5,21.44%,17.89%,25.47%,4
43,California,LA SPA 2,25.49%,22.17%,29.11%,4
44,California,LA SPA 3,34.66%,30.36%,39.23%,4
45,California,LA SPA 4,30.18%,26.06%,34.65%,4
46,California,LA SPA 6,32.00%,27.54%,36.81%,4
47,California,LA SPA 7,35.10%,31.13%,39.29%,4
48,California,LA SPA 8,27.35%,23.78%,31.24%,4
49,California,Region 12R,28.02%,23.80%,32.67%,4
50,California,Regions 13 and 19R,29.72%,26.42%,33.26%,4
51,California,Region 14 (Orange),28.48%,25.23%,31.98%,4
52,California,Region 15R (Fresno),28.94%,24.86%,33.39%,4
53,California,Region 16R (San Diego),25.35%,22.48%,28.45%,4
54,California,Region 17R,31.83%,28.06%,35.85%,4
55,California,Region 18R (San Bernardino),32.11%,28.44%,36.01%,4
56,California,Region 20R,31.26%,27.01%,35.85%,4
57,California,Region 21R,24.45%,20.61%,28.74%,4
58,Colorado,Colorado,19.86%,17.73%,22.18%,3
59,Colorado,Region 1,19.96%,16.15%,24.40%,4
60,Colorado,Regions 2 and 7,18.37%,15.88%,21.15%,4
61,Colorado,Region 3,21.04%,17.40%,25.19%,4
62,Colorado,Region 4,29.86%,24.65%,35.66%,4
63,Colorado,Regions 5 and 6,20.91%,16.94%,25.53%,4
64,Connecticut,Connecticut,25.15%,22.74%,27.73%,3
65,Connecticut,Eastern,22.78%,19.06%,26.98%,4
66,Connecticut,North Central,25.51%,21.96%,29.42%,4
67,Connecticut,Northwestern,27.04%,23.00%,31.51%,4
68,Connecticut,South Central,24.20%,20.61%,28.20%,4
69,Connecticut,Southwest,25.61%,21.38%,30.36%,4
70,Delaware,Delaware,27.46%,25.16%,29.89%,3
71,Delaware,Kent,26.85%,22.98%,31.11%,4
72,Delaware,New Castle (excluding Wilmington City),27.28%,24.41%,30.34%,4
73,Delaware,Sussex,28.07%,23.95%,32.60%,4
74,Delaware,Wilmington City,28.30%,23.33%,33.87%,4
75,District of Columbia,District of Columbia,19.65%,17.56%,21.91%,3
76,District of Columbia,Ward 1,17.46%,14.32%,21.13%,4
77,District of Columbia,Ward 2,14.20%,11.31%,17.68%,4
78,District of Columbia,Ward 3,14.15%,11.22%,17.67%,4
79,District of Columbia,Ward 4,23.93%,19.90%,28.49%,4
80,District of Columbia,Ward 5,21.84%,18.10%,26.11%,4
81,District of Columbia,Ward 6,17.15%,13.98%,20.88%,4
82,District of Columbia,Ward 7,25.55%,20.90%,30.84%,4
83,District of Columbia,Ward 8,24.49%,20.64%,28.81%,4
84,Florida,Florida,32.08%,30.70%,33.50%,3
85,Florida,Broward (Circuit 17),32.23%,28.82%,35.84%,4
86,Florida,Central I,28.22%,25.62%,30.96%,5
87,Florida,Circuit 9,30.54%,27.30%,33.99%,4
88,Florida,Circuit 18,24.84%,21.23%,28.84%,4
89,Florida,Central II,29.86%,27.82%,31.97%,5
90,Florida,Circuit 6,27.24%,23.62%,31.18%,4
91,Florida,Circuit 10,32.52%,28.18%,37.19%,4
92,Florida,Circuit 12,31.23%,27.04%,35.75%,4
93,Florida,Circuit 13 (Hillsborough),29.66%,26.21%,33.35%,4
94,Florida,Circuit 20,30.66%,26.63%,35.01%,4
95,Florida,Northeast,28.38%,26.16%,30.70%,5
96,Florida,Circuit 4,29.39%,25.81%,33.25%,4
97,Florida,Circuit 5,27.34%,23.48%,31.57%,4
98,Florida,Circuit 7,28.41%,24.42%,32.78%,4
99,Florida,"Circuit 8 plus Columbia, Dixie, Hamilton, Lafayette, and Suwannee",28.31%,24.27%,32.73%,4
100,Florida,Northwest,26.23%,23.52%,29.14%,5
101,Florida,Circuit 1,25.46%,21.58%,29.78%,4
102,Florida,Circuit 2 plus Madison and Taylor,26.02%,22.12%,30.35%,4
103,Florida,Circuit 14,28.36%,23.56%,33.71%,4
104,Florida,South (Circuits 11 and 16),49.29%,46.10%,52.49%,4
105,Florida,Southeast,30.75%,27.68%,34.00%,5
106,Florida,Circuit 15 (Palm Beach),31.98%,28.14%,36.07%,4
107,Florida,Circuit 19,28.05%,23.81%,32.71%,4
108,Georgia,Georgia,34.03%,31.57%,36.58%,3
109,Georgia,Region 1,34.38%,30.45%,38.53%,4
110,Georgia,Region 2,34.73%,30.62%,39.08%,4
111,Georgia,Region 3,34.09%,30.42%,37.97%,4
112,Georgia,Region 4,33.84%,28.96%,39.09%,4
113,Georgia,Region 5,32.94%,27.98%,38.31%,4
114,Georgia,Region 6,33.55%,28.86%,38.58%,4
115,Hawaii,Hawaii,26.53%,24.05%,29.18%,3
116,Hawaii,Hawaii Island,22.86%,18.83%,27.46%,4
117,Hawaii,Honolulu,27.88%,25.03%,30.91%,4
118,Hawaii,Kauai,24.27%,19.55%,29.71%,4
119,Hawaii,Maui,23.54%,19.50%,28.11%,4
120,Idaho,Idaho,28.41%,26.12%,30.82%,3
121,Idaho,Region 1,28.44%,24.07%,33.26%,4
122,Idaho,Region 2,22.93%,18.58%,27.93%,4
123,Idaho,Region 3,31.38%,27.22%,35.85%,4
124,Idaho,Region 4,23.81%,20.63%,27.33%,4
125,Idaho,Region 5,32.92%,28.39%,37.79%,4
