Order,State,Substate Region,"Small 
Area Estimate",95% CI (Lower),95% CI (Upper),Map Group
1,Total United States,Total United States,7.73%,7.54%,7.92%,1
2,Northeast,Northeast,8.36%,7.95%,8.79%,2
3,Midwest,Midwest,7.28%,6.97%,7.60%,2
4,South,South,6.43%,6.15%,6.73%,2
5,West,West,9.70%,9.24%,10.17%,2
6,Alabama,Alabama,5.16%,4.29%,6.20%,3
7,Alabama,Region 1,4.71%,3.49%,6.32%,4
8,Alabama,Region 2,5.91%,4.58%,7.59%,4
9,Alabama,Region 3,4.83%,3.69%,6.31%,4
10,Alabama,Region 4,4.94%,3.64%,6.66%,4
11,Alaska,Alaska,12.59%,10.99%,14.38%,3
12,Alaska,Anchorage,12.37%,10.28%,14.82%,4
13,Alaska,Northern,14.93%,11.76%,18.76%,4
14,Alaska,South Central,11.49%,9.02%,14.54%,4
15,Alaska,Southeast,11.23%,8.40%,14.86%,4
16,Arizona,Arizona,8.06%,6.90%,9.39%,3
17,Arizona,Maricopa,7.64%,6.34%,9.18%,4
18,Arizona,Pima,9.89%,7.40%,13.10%,4
19,Arizona,Rural North,8.22%,5.97%,11.22%,4
20,Arizona,Rural South,7.68%,5.57%,10.50%,4
21,Arkansas,Arkansas,6.24%,5.25%,7.41%,3
22,Arkansas,Catchment Area 1,6.46%,4.87%,8.53%,4
23,Arkansas,Catchment Area 2,5.48%,3.91%,7.61%,4
24,Arkansas,Catchment Area 3,5.76%,4.21%,7.83%,4
25,Arkansas,Catchment Area 4,6.10%,4.36%,8.47%,4
26,Arkansas,Catchment Area 5,7.42%,5.56%,9.84%,4
27,Arkansas,Catchment Area 6,6.96%,5.00%,9.61%,4
28,Arkansas,Catchment Area 7,5.49%,3.91%,7.66%,4
29,Arkansas,Catchment Area 8,6.07%,4.51%,8.13%,4
30,California,California,9.19%,8.53%,9.90%,3
31,California,Region 1R,13.97%,10.71%,18.04%,4
32,California,Region 2R,11.09%,8.54%,14.28%,4
33,California,Region 3R (Sacramento),10.19%,8.04%,12.83%,4
34,California,Region 4R,11.34%,9.09%,14.07%,4
35,California,Region 5R (San Francisco),15.46%,11.52%,20.44%,4
36,California,Region 6 (Santa Clara),7.78%,6.10%,9.89%,4
37,California,Region 7R (Contra Costa),9.55%,7.32%,12.36%,4
38,California,Region 8R (Alameda),10.67%,8.41%,13.44%,4
39,California,Region 9R (San Mateo),9.07%,6.72%,12.13%,4
40,California,Region 10,10.23%,7.92%,13.10%,4
41,California,Region 11 (Los Angeles),8.44%,7.55%,9.43%,5
42,California,LA SPA 1 and 5,9.77%,7.52%,12.61%,4
43,California,LA SPA 2,8.03%,6.39%,10.05%,4
44,California,LA SPA 3,6.18%,4.71%,8.07%,4
45,California,LA SPA 4,10.50%,8.15%,13.42%,4
46,California,LA SPA 6,10.62%,8.18%,13.68%,4
47,California,LA SPA 7,7.00%,5.48%,8.92%,4
48,California,LA SPA 8,9.01%,7.10%,11.37%,4
49,California,Region 12R,9.28%,6.92%,12.33%,4
50,California,Regions 13 and 19R,7.99%,6.44%,9.87%,4
51,California,Region 14 (Orange),8.09%,6.58%,9.89%,4
52,California,Region 15R (Fresno),8.10%,6.17%,10.58%,4
53,California,Region 16R (San Diego),9.42%,7.70%,11.47%,4
54,California,Region 17R,7.59%,5.90%,9.71%,4
55,California,Region 18R (San Bernardino),7.62%,6.03%,9.59%,4
56,California,Region 20R,8.76%,6.80%,11.23%,4
57,California,Region 21R,11.20%,8.66%,14.36%,4
58,Colorado,Colorado,14.01%,12.32%,15.88%,3
59,Colorado,Region 1,13.33%,10.30%,17.07%,4
60,Colorado,Regions 2 and 7,14.80%,12.61%,17.30%,4
61,Colorado,Region 3,11.73%,9.10%,14.99%,4
62,Colorado,Region 4,12.03%,8.79%,16.26%,4
63,Colorado,Regions 5 and 6,14.84%,11.34%,19.18%,4
64,Connecticut,Connecticut,9.21%,7.95%,10.65%,3
65,Connecticut,Eastern,10.12%,7.88%,12.91%,4
66,Connecticut,North Central,9.21%,7.27%,11.60%,4
67,Connecticut,Northwestern,7.66%,5.79%,10.07%,4
68,Connecticut,South Central,10.12%,8.04%,12.67%,4
69,Connecticut,Southwest,8.92%,6.75%,11.72%,4
70,Delaware,Delaware,8.12%,7.03%,9.35%,3
71,Delaware,Kent,7.09%,5.39%,9.27%,4
72,Delaware,New Castle (excluding Wilmington City),8.87%,7.50%,10.46%,4
73,Delaware,Sussex,6.17%,4.60%,8.23%,4
74,Delaware,Wilmington City,11.01%,8.07%,14.85%,4
75,District of Columbia,District of Columbia,11.88%,10.44%,13.48%,3
76,District of Columbia,Ward 1,12.60%,9.77%,16.10%,4
77,District of Columbia,Ward 2,13.91%,10.72%,17.84%,4
78,District of Columbia,Ward 3,9.97%,7.62%,12.94%,4
79,District of Columbia,Ward 4,11.40%,8.67%,14.84%,4
80,District of Columbia,Ward 5,11.64%,9.15%,14.69%,4
81,District of Columbia,Ward 6,11.71%,9.02%,15.07%,4
82,District of Columbia,Ward 7,10.92%,8.20%,14.40%,4
83,District of Columbia,Ward 8,12.87%,10.11%,16.26%,4
84,Florida,Florida,7.24%,6.63%,7.91%,3
85,Florida,Broward (Circuit 17),6.92%,5.47%,8.72%,4
86,Florida,Central I,7.47%,6.32%,8.82%,5
87,Florida,Circuit 9,7.42%,5.99%,9.16%,4
88,Florida,Circuit 18,7.54%,5.92%,9.56%,4
89,Florida,Central II,7.38%,6.46%,8.41%,5
90,Florida,Circuit 6,7.86%,6.14%,10.01%,4
91,Florida,Circuit 10,6.63%,5.02%,8.71%,4
92,Florida,Circuit 12,6.61%,4.96%,8.76%,4
93,Florida,Circuit 13 (Hillsborough),8.37%,6.78%,10.29%,4
94,Florida,Circuit 20,6.71%,5.12%,8.75%,4
95,Florida,Northeast,7.99%,6.93%,9.19%,5
96,Florida,Circuit 4,8.00%,6.34%,10.06%,4
97,Florida,Circuit 5,6.81%,5.20%,8.88%,4
98,Florida,Circuit 7,7.55%,5.80%,9.78%,4
99,Florida,"Circuit 8 plus Columbia, Dixie, Hamilton, Lafayette, and Suwannee",11.08%,8.62%,14.12%,4
100,Florida,Northwest,9.50%,8.08%,11.15%,5
101,Florida,Circuit 1,8.63%,6.64%,11.14%,4
102,Florida,Circuit 2 plus Madison and Taylor,11.71%,9.37%,14.53%,4
103,Florida,Circuit 14,8.30%,6.13%,11.14%,4
104,Florida,South (Circuits 11 and 16),5.23%,4.28%,6.38%,4
105,Florida,Southeast,6.60%,5.41%,8.03%,5
106,Florida,Circuit 15 (Palm Beach),6.04%,4.69%,7.73%,4
107,Florida,Circuit 19,7.85%,5.83%,10.48%,4
108,Georgia,Georgia,7.74%,6.65%,8.99%,3
109,Georgia,Region 1,7.41%,5.77%,9.47%,4
110,Georgia,Region 2,6.45%,4.79%,8.63%,4
111,Georgia,Region 3,7.95%,6.34%,9.93%,4
112,Georgia,Region 4,7.18%,5.26%,9.74%,4
113,Georgia,Region 5,8.53%,6.29%,11.47%,4
114,Georgia,Region 6,8.66%,6.54%,11.38%,4
115,Hawaii,Hawaii,8.26%,7.02%,9.70%,3
116,Hawaii,Hawaii Island,9.66%,7.03%,13.15%,4
117,Hawaii,Honolulu,7.61%,6.30%,9.16%,4
118,Hawaii,Kauai,10.00%,6.90%,14.28%,4
119,Hawaii,Maui,9.93%,7.34%,13.31%,4
120,Idaho,Idaho,6.02%,5.10%,7.10%,3
121,Idaho,Region 1,5.64%,4.10%,7.71%,4
122,Idaho,Region 2,8.11%,5.80%,11.21%,4
123,Idaho,Region 3,5.10%,3.76%,6.88%,4
124,Idaho,Region 4,6.80%,5.35%,8.60%,4
125,Idaho,Region 5,5.43%,3.93%,7.44%,4
126,Idaho,Region 6,6.11%,4.35%,8.52%,4
127,Idaho,Region 7,5.33%,3.93%,7.18%,4
128,Illinois,Illinois,7.26%,6.65%,7.93%,3
129,Illinois,Region I (Cook),8.31%,7.32%,9.43%,4
130,Illinois,Region II,6.08%,5.25%,7.02%,4
131,Illinois,Region III,7.09%,5.81%,8.62%,4
132,Illinois,Region IV,6.37%,5.07%,7.98%,4
133,Illinois,Region V,7.54%,6.09%,9.29%,4
134,Indiana,Indiana,6.97%,5.96%,8.14%,3
135,Indiana,Central,6.64%,5.17%,8.50%,4
136,Indiana,East,7.41%,5.48%,9.96%,4
137,Indiana,North Central,6.56%,4.92%,8.69%,4
138,Indiana,Northeast,6.70%,4.92%,9.07%,4
139,Indiana,Northwest,6.18%,4.60%,8.25%,4
140,Indiana,Southeast,6.98%,5.09%,9.51%,4
141,Indiana,Southwest,6.92%,5.08%,9.36%,4
142,Indiana,West,8.96%,6.81%,11.70%,4
143,Iowa,Iowa,5.48%,4.55%,6.57%,3
144,Iowa,Central,4.76%,3.48%,6.49%,4
145,Iowa,North Central,7.19%,5.31%,9.66%,4
146,Iowa,Northeast,5.48%,4.16%,7.17%,4
147,Iowa,Northwest,4.74%,3.36%,6.65%,4
148,Iowa,Southeast,6.01%,4.47%,8.03%,4
149,Iowa,Southwest,4.84%,3.47%,6.70%,4
150,Kansas,Kansas,5.25%,4.36%,6.30%,3
151,Kansas,Kansas City Metro,5.60%,4.37%,7.16%,4
152,Kansas,Northeast,5.41%,3.98%,7.32%,4
153,Kansas,South Central,4.45%,3.19%,6.16%,4
154,Kansas,Southeast,5.45%,3.79%,7.79%,4
155,Kansas,West,4.70%,3.31%,6.63%,4
156,Kansas,Wichita (Sedgwick),5.20%,3.79%,7.10%,4
157,Kentucky,Kentucky,6.19%,5.27%,7.26%,3
158,Kentucky,"Adanta, Cumberland River, and Lifeskills",4.95%,3.66%,6.66%,4
159,Kentucky,"Bluegrass, Comprehend, and North Key",6.50%,5.11%,8.24%,4
160,Kentucky,Communicare and River Valley,6.66%,4.78%,9.21%,4
161,Kentucky,Four Rivers and Pennyroyal,5.37%,3.79%,7.57%,4
162,Kentucky,"Kentucky River, Mountain, and Pathways",5.23%,3.78%,7.20%,4
163,Kentucky,Seven Counties,7.32%,5.69%,9.38%,4
164,Louisiana,Louisiana,5.54%,4.64%,6.60%,3
165,Louisiana,Regions 1 and 10,6.70%,5.12%,8.74%,5
166,Louisiana,Region 1,7.67%,5.48%,10.64%,4
167,Louisiana,Region 10 (Jefferson),5.70%,4.07%,7.93%,4
168,Louisiana,Regions 2 and 9,5.84%,4.57%,7.43%,4
169,Louisiana,Region 3,5.15%,3.60%,7.32%,4
170,Louisiana,"Regions 4, 5, and 6",5.09%,3.82%,6.76%,4
171,Louisiana,Regions 7 and 8,4.75%,3.59%,6.25%,4
172,Maine,Maine,11.72%,10.22%,13.41%,3
173,Maine,Aroostook/Downeast,10.74%,8.28%,13.82%,5
174,Maine,Aroostook,9.05%,6.57%,12.34%,4
175,Maine,Downeast,12.11%,8.54%,16.91%,4
176,Maine,Central,11.90%,9.13%,15.36%,4
177,Maine,Cumberland,12.88%,10.16%,16.20%,4
178,Maine,Midcoast,11.62%,8.74%,15.30%,4
179,Maine,Penquis,13.25%,10.36%,16.80%,4
180,Maine,Western,11.89%,9.32%,15.04%,4
181,Maine,York,9.29%,6.95%,12.32%,4
